ID;type;Name;questionID;isValidAnswer;
1;0;Что такое JAVA?;;;
1;1;Java-этоязык программирования высокого уровня,не зависящий от платформы;1;true
2;1;Java этотип JS;1;false
3;1;Java этокофе;1;false
2;0;Что означает АОП?;;;
4;1;Аспектно-ориентированное программирование;2;true
5;1;Любое объектное программирование;2;false
6;1;Активно-ориентированное программирование;2;false
7;1;Asset Oriented Protocol;2;false
3;0;Как удалить объект из ArrayList?;;;
8;1;метод remove();3;false
9;1;с использованием итератора;3;false
10;1;метод remove() и использование Iterator;3;true
11;1;метод delete();3;false
4;0;Какой из них является литералом длинного типа данных?;;;
12;1;0x99fffL;4;true
13;1;ABCDEFG;4;false
14;1;0x99fffa;4;false
15;1;99671246;4;false
5;0;Что из перечисленного является типом полиморфизма в Java?;;;
16;1;полиморфизм временикомпиляции;5;false
19;1;Многоуровневый полиморфизм;5;false
